brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
dell,Unknown,15.6 Inches,Black,1 TB,Intel Core i5,8.0,Windows 10,,Integrated,Intel HD Graphics 620,1.1 GHz,4.0,725.0,1024.0,0.5,0.1995719141898515,0.75,0.1044776119402985,0.46863468634686345,0.6512763425021189,0.5241025417104495
dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,1000 GB,Intel Core i9,64.0,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3080 Ti,1.1 GHz,5.0,3157.99,1000.0,0.9,0.9275317221459044,1.0,0.9402985074626865,0.4575645756457564,0.88618804341022,0.8059266260441489
dell,Alienware m15 R3 Laptop,15.6 Inches,Dark Side of the Moon,512 GB,Intel Core i7,16.0,Windows 10 Home,Wifi & Bluetooth,Nvidia GeForce RTX 2070 Super,,1.1 GHz,5.0,1499.95,512.0,0.7,0.43143988453726073,1.0,0.22388059701492538,0.23247232472324722,0.73835899120402,0.6285757869208592
asus,ZenBook 14,14 Inches,Black,512 GB,Intel Core i5,8.0,Windows 10 Home,,Integrated,Intel UHD Graphics,4.2 GHz,4.3,1099.0,512.0,0.5,0.3114741284100348,0.825,0.1044776119402985,0.23247232472324722,0.6159715454145398,0.48174729898166596
hp,ZBook Fury G8,17.3 Inches,Black,1 TB,Intel Core i9,64.0,Windows 11 Pro,Anti-glare Screen,"RTX A5000,UHD Graphics",NVIDIA Intel RTX A5000 UHD Graphics,1.1 GHz,5.0,3400.1937500000004,1024.0,0.9,1.0,1.0,0.9402985074626865,0.46863468634686345,0.8733549044445668,0.7905306809969619
lenovo,Unknown,14 Inches,Black,1 TB,unknown,16.0,Windows 11 Pro,,Integrated,,3.4 GHz,5.0,979.99,1024.0,0.0,0.2758658863930722,1.0,0.22388059701492538,0.46863468634686345,0.5598981450764001,0.41447591724681004
lenovo,Lenovo Ideapad,15.6 Inches,Black,512 MB,Ryzen 7,8.0,Windows 10,Anti-glare,Integrated,,2 GHz,3.9,599.0,,0.8,0.16187223774134057,0.725,0.1044776119402985,,,
dell,Latitude 7320 Laptop,13.3 Inches,Black,256 GB,Intel Core i5,8.0,Windows 10 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,683.99,256.0,0.5,0.18730156711720522,1.0,0.1044776119402985,0.1143911439114391,0.6755938805513344,0.5532763456013468
lenovo,ThinkPad T14 G1,14 Inches,Black,1000 GB,Intel Core i7,16.0,Windows 10 Pro,,Integrated,,1.8,3.5,695.77,1000.0,0.7,0.19082618766135964,0.625,0.22388059701492538,0.4575645756457564,0.7077455682175766,0.5918487960212029
lenovo,Lenovo ThinkPad P1 Gen 5,16 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel Iris Xe Graphics,1.1 GHz,5.0,1799.0,512.0,0.7,0.5209167753462068,1.0,0.22388059701492538,0.23247232472324722,0.7204636130422308,0.6071066623742514
